Phrase,Positive,Negative,Strong,Power,Sentiment
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
all,0,0,0,0,2
alledge,0,0,0,0,2
allegation,0,1,0,0,1
allege,0,1,0,0,1
allegiance,1,0,0,0,3
alleviate,1,0,0,0,3
alliance,1,0,1,1,4
allied,1,0,1,0,4
allies,1,0,0,0,3
allocation,0,0,0,0,2
allot,0,0,0,1,2
allotment,0,0,0,0,2
allow,1,0,0,1,4
allow,0,0,0,0,2
allowable,1,0,0,0,3
allowance,1,0,0,0,3
allure,1,0,0,0,3
allusion,0,0,0,0,2
ally,1,0,1,0,4
ally,0,0,0,0,2
almighty,1,0,1,1,4
almost,0,0,0,0,2
alone,0,0,0,0,2
alone,0,0,0,0,2
alone,0,0,0,0,2
along,0,0,0,0,2
along,0,0,0,0,2
along,0,0,0,0,2
along,0,0,0,0,2
alongside,0,0,0,0,2
aloof,0,1,0,0,1
aloud,0,0,0,0,2
already,0,0,0,0,2
alright,0,0,0,0,2
also,0,0,0,0,2
alter,0,0,1,0,2
alteration,0,0,0,0,2
altercation,0,1,0,0,1
alternate,0,0,0,0,2
alternate,0,0,0,0,2
alternative,0,0,0,0,2
although,0,0,0,0,2
altogether,0,0,0,0,2
altruistic,1,0,0,0,3
aluminium,0,0,0,0,2
aluminum,0,0,0,0,2
always,0,0,0,0,2
am,0,0,0,0,2
am,0,0,0,0,2
am,0,0,0,0,2
amateur,0,0,0,0,2
amaze,0,0,0,0,2
amaze,0,0,0,0,2
amazement,1,0,1,1,4
amazing,1,0,1,1,4
ambassador,0,0,0,1,2
ambiguity,0,1,0,0,1
ambiguous,0,1,0,0,1
ambition,0,0,1,1,2
ambitious,0,0,1,1,2
ambivalent,0,1,0,0,1
ambulance,0,0,0,0,2
ambush,0,1,1,0,0
ambush,0,1,1,0,0
ameliorate,1,0,0,0,3
amelioration,0,0,0,0,2
amen,0,0,0,0,2
amenable,1,0,0,0,3
amend,0,0,0,0,2
amend,0,0,0,0,2
amendment,0,0,0,0,2
amenity,1,0,0,0,3
america,0,0,0,0,2
american,0,0,0,0,2
amiability,1,0,0,0,3
amiable,1,0,0,0,3
amicable,1,0,0,0,3
amid,0,0,0,0,2
amidst,0,0,0,0,2
amiss,0,1,0,0,1
ammunition,0,0,0,0,2
amnesty,1,0,0,1,4
among,0,0,0,0,2
amount,0,0,0,0,2
amount,0,0,0,0,2
amour,1,0,0,0,3
ample,1,0,1,0,4
amplify,1,0,1,0,4
amply,1,0,1,0,4
amputate,0,1,0,0,1
amuse,1,0,0,0,3
amusement,1,0,0,0,3
an,0,0,0,0,2
analogous,0,0,0,0,2
analogy,0,0,0,0,2
analyse,0,0,0,0,2
analysis,0,0,0,0,2
analyst,0,0,0,0,2
analytic,0,0,0,0,2
analytical,0,0,0,0,2
analyze,0,0,0,0,2
anarchist,0,1,0,0,1
anarchy,0,1,0,0,1
ancestor,0,0,0,0,2
anchor,0,0,0,0,2
anchor,0,0,1,0,2
ancient,0,0,0,0,2
and,0,0,0,0,2
anecdote,0,0,0,0,2
anew,0,0,0,0,2
angel,1,0,0,0,3
angelic,1,0,0,0,3
anger,0,1,0,0,1
anger,0,1,0,0,1
angle,0,0,0,0,2
angola,0,0,0,0,2
angry,0,1,0,0,1
anguish,0,1,0,0,1
animal,0,0,0,0,2
animate,0,0,0,0,2
animation,0,0,0,0,2
animosity,0,1,0,0,1
ankle,0,0,0,0,2
annals,0,0,0,0,2
annihilate,0,1,0,0,1
annihilation,0,1,0,0,1
anniversary,0,0,0,0,2
announce,0,0,0,0,2
announce,0,0,0,0,2
announcement,0,0,0,0,2
annoy,0,1,0,0,1
annoyance,0,1,0,0,1
annual,0,0,0,0,2
annuity,0,0,0,0,2
anoint,1,0,0,0,3
anomalous,0,1,0,0,1
anomaly,0,1,0,0,1
anonymous,0,0,0,0,2
another,0,0,0,0,2
another,0,0,0,0,2
another,0,0,0,0,2
answer,0,0,0,0,2
answer,0,0,0,0,2
answerable,0,0,0,0,2
ant,0,0,0,0,2
antagonise,0,0,0,0,2
antagonism,0,1,1,0,0
antagonist,0,1,0,0,1
antagonistic,0,1,1,0,0
antagonize,0,1,1,0,0
antarctica,0,0,0,0,2
antisocial,0,1,0,0,1
antitrust,0,0,0,0,2
anticipate,0,0,0,0,2
anticipation,0,0,0,0,2
antipathy,0,1,0,0,1
antiquated,0,1,0,0,1
antitrust,0,1,0,0,1
anxiety,0,1,0,0,1
anxious,0,0,0,0,2
anxious,0,1,0,0,1
anxious,0,1,0,0,1
anxiousness,0,1,0,0,1
any,0,0,0,0,2
any,0,0,0,0,2
any,0,0,0,0,2
any,0,0,0,0,2
any,0,0,0,0,2
anybody,0,0,0,0,2
anyhow,0,0,0,0,2
anymore,0,0,0,0,2
anyone,0,0,0,0,2
anything,0,0,0,0,2
anyway,0,0,0,0,2
anywhere,0,0,0,0,2
apart,0,0,0,0,2
apart,0,0,0,0,2
apart,0,0,0,0,2
apartment,0,0,0,0,2
apathetic,0,1,0,0,1
apathy,0,1,0,0,1
apocalypse,1,0,0,0,3
apologetic,0,0,0,0,2
apologize,0,0,0,0,2
apology,0,0,0,0,2
appall,0,1,0,0,1
appall,0,1,0,0,1
apparatus,0,0,0,0,2
apparent,0,0,0,0,2
apparent,0,0,0,0,2
appeal,0,0,0,0,2
appeal,0,0,0,0,2
appeal,1,0,0,0,3
appear,0,0,0,0,2
appear,0,0,0,0,2
appearance,0,0,0,0,2
appease,1,0,0,0,3
appeasement,0,0,0,0,2
append,1,0,0,0,3
appertain,0,0,0,0,2
appetite,0,0,0,0,2
applaud,1,0,0,0,3
applause,1,0,0,0,3
applicable,0,0,0,0,2
applicant,0,0,0,0,2
application,0,0,0,0,2
apply,0,0,0,0,2
apply,0,0,0,0,2
apply,0,0,0,0,2
apply,0,0,0,0,2
appoint,1,0,0,0,3
appoint,1,0,0,1,4
appointment,0,0,0,0,2
appraisal,0,0,0,1,2
appraise,0,0,0,0,2
appreciable,1,0,1,0,4
appreciate,1,0,0,0,3
appreciation,1,0,0,0,3
appreciative,1,0,0,0,3
apprehend,1,0,0,0,3
apprehension,0,1,1,0,0
apprehensive,0,1,0,0,1
approach,1,0,0,0,3
approach,1,0,0,0,3
appropriate,1,0,0,0,3
appropriate,0,0,1,1,2
appropriation,0,0,0,1,2
approval,1,0,0,0,3
approve,1,0,0,0,3
approve,1,0,1,0,4
approximate,0,0,0,0,2
approximately,0,0,0,0,2
april,0,0,0,0,2
apt,1,0,1,0,4
aptitude,1,0,1,0,4
arab,0,0,0,0,2
arabia,0,0,0,0,2
arbiter,1,0,0,0,3
arbitrary,0,1,0,0,1
arbitrate,1,0,0,0,3
arbitration,1,0,0,0,3
arbitrator,0,0,0,0,2
arch,0,0,0,0,2
arch,0,0,0,0,2
architect,0,0,0,0,2
architecture,0,0,0,0,2
ardent,1,0,1,1,4
ardour,0,0,0,0,2
arduous,0,1,0,0,1
are,0,0,0,0,2
are,0,0,0,0,2
are,0,0,0,0,2
are,0,0,0,0,2
area,0,0,0,0,2
arena,0,0,0,0,2
argentine,0,0,0,0,2
argue,0,1,0,0,1
argue,0,0,0,0,2
argument,0,1,0,0,1
argument,0,0,0,0,2
arid,0,0,0,0,2
arise,0,0,1,0,2
arisen,1,0,0,0,3
aristocracy,1,0,0,1,4
aristocrat,1,0,0,1,4
aristocratic,1,0,0,1,4
arizona,0,0,0,0,2
arkansas,0,0,0,0,2
arm,0,0,0,0,2
arm,0,0,1,1,2
arm,0,0,1,1,2
armament,0,0,0,0,2
armed,0,0,1,1,2
armed,0,0,1,1,2
armistice,0,0,0,0,2
army,0,0,1,1,2
arose,0,0,1,0,2
around,0,0,0,0,2
arouse,0,0,0,0,2
arrange,0,0,0,1,2
arrange,0,0,0,0,2
arrangement,0,0,0,0,2
arrest,0,1,1,1,0
arrest,0,1,1,0,0
arrest,1,0,0,0,3
arrival,0,0,0,0,2
arrive,0,0,0,0,2
arrogance,0,1,0,1,0
arrogant,0,1,1,0,0
arrow,0,0,0,0,2
arsenal,0,0,0,0,2
art,1,0,0,0,3
art,0,0,0,0,2
art,0,0,0,0,2
art,1,0,0,0,3
artery,0,0,0,0,2
article,0,0,0,0,2
articulate,0,0,0,0,2
articulate,0,0,1,0,2
artificial,0,1,0,0,1
artist,0,0,0,0,2
artistic,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
as,0,0,0,0,2
ascend,0,0,1,0,2
ascendancy,0,0,0,0,2
ascendant,0,0,0,0,2
ascent,0,0,1,0,2
ascertain,0,0,0,0,2
ascertainment,0,0,0,0,2
ascribe,1,0,0,0,3
ash,0,0,0,0,2
ashamed,0,1,0,0,1
asia,0,0,0,0,2
aside,0,0,0,0,2
aside,0,0,0,0,2
ask,0,0,0,0,2
ask,0,0,0,0,2
asleep,0,0,0,0,2
aspect,0,0,0,0,2
aspiration,1,0,0,0,3
aspire,1,0,0,0,3
ass,0,0,0,0,2
assail,0,1,1,0,0
assailant,0,1,0,0,1
assassin,0,1,0,0,1
assassinate,0,1,0,0,1
assassination,0,0,0,0,2
assault,0,1,1,0,0
assault,0,1,1,0,0
assemble,0,0,0,0,2
assembly,0,0,0,0,2
assent,1,0,0,0,3
assert,0,0,1,1,2
assertion,1,0,1,0,4
assertive,0,0,0,0,2
assess,0,0,0,0,2
assessment,0,0,0,0,2
assessor,0,0,0,1,2
asset,1,0,1,0,4
assign,0,0,0,0,2
assign,0,0,0,1,2
assignment,0,0,0,0,2
assimilate,0,0,0,0,2
assist,1,0,1,0,4
assist,1,0,1,0,4
assistance,1,0,1,0,4
assistant,1,0,0,0,3
associate,1,0,0,0,3
associate,1,0,0,0,3
associate,1,0,0,0,3
association,1,0,1,0,4
association,1,0,1,0,4
assume,0,0,0,1,2
assume,0,0,0,0,2
assumption,0,0,0,0,2
assurance,1,0,1,0,4
assure,1,0,1,0,4
assure,1,0,1,1,4
assure,1,0,1,1,4
assuredly,1,0,1,1,4
assuredness,0,0,0,0,2
astonish,0,0,0,0,2
astonish,0,0,0,0,2
astound,1,0,1,1,4
astray,0,1,0,0,1
astronomical,0,0,0,0,2
astronomy,0,0,0,0,2
astute,1,0,0,0,3
asunder,0,1,0,0,1
at,0,0,0,0,2
ate,0,0,0,0,2
athletic,1,0,1,0,4
atlantic,0,0,0,0,2
atlanticaliance,0,0,0,0,2
atlanticcommunity,0,0,0,0,2
atlanticpact,0,0,0,0,2
atlas,0,0,0,0,2
atmosphere,0,0,0,0,2
atom,0,0,0,0,2
atomic,0,0,1,0,2
atop,0,0,0,0,2
atrocious,0,1,0,0,1
atrophy,0,1,0,0,1
attach,0,0,0,0,2
attachment,1,0,0,0,3
attack,0,1,1,0,0
attack,0,1,1,0,0
attack,0,1,0,0,1
attacker,0,0,0,0,2
attain,1,0,1,0,4
attainable,0,0,0,0,2
attainment,1,0,1,0,4
attempt,0,0,0,0,2
attempt,0,0,0,0,2
attempt,0,0,0,0,2
attend,1,0,0,0,3
attend,0,0,0,0,2
attendance,1,0,0,0,3
attendant,0,0,0,0,2
attention,0,0,0,0,2
attentive,1,0,0,0,3
attest,0,0,0,0,2
attic,0,0,0,0,2
attitude,0,0,0,0,2
attorney,0,0,0,1,2
attract,1,0,1,0,4
attraction,1,0,1,0,4
attractive,1,0,0,0,3
attractiveness,1,0,0,0,3
attribute,0,0,0,0,2
attribute,0,0,0,0,2
attune,1,0,0,0,3
auction,0,0,0,0,2
audacious,0,1,1,0,0
audacity,0,1,1,0,0
audible,1,0,1,0,4
audience,0,0,0,0,2
auditor,0,0,0,1,2
augment,1,0,0,0,3
augmentation,1,0,0,0,3
august,0,0,0,0,2
aunt,0,0,0,0,2
auspicious,1,0,0,0,3
austere,0,1,1,0,0
australia,0,0,0,0,2
australian,0,0,0,0,2
austria,0,0,0,0,2
austrian,0,0,0,0,2
authentic,1,0,0,0,3
authenticity,1,0,0,0,3
author,0,0,0,0,2
authorise,0,0,0,0,2
authoritarian,0,0,1,1,2
authoritative,1,0,1,1,4
authority,1,0,1,1,4
authorize,0,0,1,1,2
authorize,0,0,1,1,2
auto,0,0,0,0,2
autocrat,0,1,1,1,0
autocratic,0,1,1,1,0
automatic,0,0,0,0,2
automobile,0,0,0,0,2
automotive,0,0,0,0,2
autonomous,1,0,1,1,4
autonomy,0,0,0,0,2
autumn,0,0,0,0,2
auxiliary,0,0,0,0,2
avail,0,0,1,0,2
availability,1,0,0,0,3
available,0,0,0,0,2
avarice,0,1,0,0,1
avaricious,0,1,0,0,1
avenge,0,1,1,0,0
avenue,0,0,0,0,2
average,0,0,0,0,2
average,0,0,0,0,2
average,0,0,0,0,2
aversion,0,1,0,0,1
avert,0,1,0,0,1
avid,1,0,0,0,3
avoid,0,1,0,0,1
avoidance,0,1,0,0,1
avowal,0,0,0,0,2
await,0,0,0,0,2
awake,0,0,0,0,2
awaken,0,0,0,0,2
award,1,0,1,1,4
award,1,0,1,1,4
aware,1,0,1,0,4
awareness,1,0,1,0,4
away,0,0,0,0,2
away,0,0,0,0,2
away,0,0,0,0,2
away,0,0,0,0,2
awe,0,0,0,0,2
awful,0,1,1,0,0
awful,0,0,0,0,2
awful,0,0,0,0,2
awhile,0,0,0,0,2
awkward,0,1,0,0,1
awkwardness,0,1,0,0,1
awoke,0,0,0,0,2
ax,0,1,0,1,0
axe,0,0,1,0,2
axis,0,0,0,0,2
axle,0,0,0,0,2
babble,0,1,0,0,1
baby,0,0,0,0,2
baby,0,0,0,0,2
baby,0,0,0,0,2
bachelor,0,0,0,0,2
back,0,0,0,0,2
back,1,0,1,1,4
back,0,0,1,0,2
back,0,0,0,0,2
back,1,0,1,1,4
back,0,0,0,0,2
back,0,0,0,0,2
back,0,0,0,0,2
backbone,1,0,1,1,4
backer,1,0,1,0,4
background,0,0,0,0,2
backing,1,0,0,0,3
backward,0,1,0,0,1
backwardness,0,1,0,0,1
bacon,0,0,0,0,2
bad,0,1,0,0,1
badger,0,0,0,0,2
badly,0,1,0,0,1
baffle,0,1,0,0,1
bafflement,0,1,0,0,1
bag,0,0,0,0,2
bag,0,0,0,0,2
bail,0,1,0,0,1
bait,0,1,0,0,1
bake,0,0,0,0,2
baker,0,0,0,0,2
balance,0,0,1,0,2
balance,0,0,1,0,2
bale,0,0,0,0,2
balk,0,1,0,0,1
ball,0,0,0,0,2
ball,0,0,0,0,2
ball,0,0,0,0,2
ball,0,0,1,0,2
ball,1,0,0,0,3
ball,1,0,1,0,4
ballet,0,0,0,0,2
ballistic,0,0,0,0,2
balloon,0,0,0,0,2
ballot,0,0,0,1,2
balmy,1,0,0,0,3
ban,0,0,0,0,2
ban,0,0,0,0,2
banal,0,1,0,0,1
band,0,0,0,0,2
band,0,0,1,0,2
bandit,0,1,0,0,1
bandstand,0,0,0,0,2
bane,0,1,0,0,1
banish,0,1,1,1,0
banish,0,1,1,1,0
banishment,0,1,0,1,0
bank,0,0,0,0,2
bank,0,0,0,0,2
bank,0,0,0,0,2
bank,0,0,0,0,2
banker,0,0,0,0,2
bankrupt,0,1,0,0,1
bankruptcy,0,1,0,0,1
banquet,0,0,0,0,2
banter,0,0,0,0,2
banter,0,0,0,0,2
baptism,1,0,0,0,3
baptize,1,0,0,0,3
bar,0,0,0,0,2
bar,0,0,0,0,2
bar,0,0,0,0,2
bar,0,1,1,1,0
bar,0,0,0,0,2
bar,0,0,0,0,2
barbarian,0,1,0,0,1
barbarous,0,1,0,0,1
barber,0,0,0,0,2
bard,0,0,0,0,2
barely,0,0,0,0,2
bargain,1,0,0,0,3
bark,0,0,0,0,2
bark,0,0,0,0,2
barn,0,0,0,0,2
barrel,0,0,0,0,2
barren,0,1,0,0,1
barrier,0,1,0,0,1
base,0,0,1,0,2
base,0,0,1,0,2
baseball,0,0,0,0,2
basement,0,0,0,0,2
bashful,0,1,0,0,1
basic,1,0,0,0,3
basic,1,0,0,0,3
basis,0,0,0,0,2
basket,0,0,0,0,2
bastard,0,1,0,0,1
bat,0,0,0,0,2
bat,0,0,0,0,2
bath,0,0,0,0,2
bathe,0,0,0,0,2
bathroom,0,0,0,0,2
bathroom,0,0,0,0,2
battle,0,1,1,0,0
battle,0,1,1,0,0
battlefield,0,1,0,0,1
battleship,0,0,0,0,2
bavaria,0,0,0,0,2
bay,0,0,0,0,2
be,0,0,0,0,2
be,0,0,0,0,2
be,0,0,0,0,2
be,0,0,0,0,2
beach,0,0,0,0,2
beacon,1,0,0,0,3
beam,0,0,0,0,2
beam,0,0,0,0,2
bean,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,1,1,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,0,0,2
bear,0,0,1,1,2
beard,0,0,0,0,2
bearer,0,0,0,0,2
beastly,0,1,0,0,1
beat,0,0,0,0,2
beat,0,1,1,1,0
beat,0,1,1,0,0
beat,0,1,0,0,1
beaten,0,0,0,0,2
beauteous,1,0,0,0,3
beautiful,0,0,0,0,2
beautify,1,0,1,0,4
beauty,1,0,0,0,3
beaver,0,0,0,0,2
became,0,0,0,0,2
because,0,0,0,0,2
because,0,0,0,0,2
beckon,0,0,0,0,2
become,0,0,0,0,2
bed,0,0,0,0,2
bed,0,0,0,0,2
bed,0,0,0,0,2
bed,0,0,0,0,2
bedroom,0,0,0,0,2
beef,0,0,0,0,2
been,0,0,0,0,2
been,0,0,0,0,2
been,0,0,0,0,2
beep,0,0,0,0,2
beer,0,0,0,0,2
befit,1,0,0,0,3
befitting,1,0,0,0,3
before,0,0,0,0,2
befriend,1,0,0,0,3
